,trope,char,movie,actor
387,psycho_for_hire,Anton Chigurh,No Country for Old Men,Javier Bardem
388,psycho_for_hire,Jackson Rippner,Red Eye,Cillian Murphy
389,psycho_for_hire,Staff Sergeant Robert Barnes,Platoon,Tom Berenger
390,psycho_for_hire,George Higgins,8mm,Chris Bauer
391,psycho_for_hire,Major Arnold Toht,Indiana Jones and the Raiders of the Lost Ark,Ronald Lacey
392,psycho_for_hire,Mortimer Brewster,Arsenic and Old Lace,Cary Grant
393,psycho_for_hire,Col. Paul Tanner,My Fellow Americans,Everett McGill
394,psycho_for_hire,Bullet Tooth Tony,Snatch,Vinnie Jones
395,psycho_for_hire,Waingro,Heat,Kevin Gage
396,psycho_for_hire,Jack Wilson,Shane,Jack Palance
397,psycho_for_hire,Isaacs,Hanna,Tom Hollander
398,psycho_for_hire,Frank,Once Upon a Time in the West,Henry Fonda
399,pupil_turned_to_evil,Count Dooku,Star Wars Episode II: Attack of the Clones,Christopher Lee
400,pupil_turned_to_evil,Aaron Hallam,The Hunted,Benicio del Toro
401,retired_outlaw,William Munny,Unforgiven,Clint Eastwood
402,retired_outlaw,Ned Logan,Unforgiven,Morgan Freeman
403,retired_outlaw,Butch Cassidy,Butch Cassidy and the Sundance Kid,Paul Newman
404,retired_outlaw,The Sundance Kid,Butch Cassidy and the Sundance Kid,Robert Redford
405,retired_outlaw,Patrick Floyd 'Pat' Garrett,Young Guns II,William Petersen
406,retired_outlaw,Roy O'Bannon,Shanghai Noon,Owen Wilson
407,revenge,Inigo Montoya,The Princess Bride,Mandy Patinkin
408,revenge,Khan Noonien Singh,Star Trek II: The Wrath of Khan,Ricardo Montalbán
409,revenge,Col. Douglas Mortimer,For a Few Dollars More,Lee Van Cleef
410,revenge,Leonard,Memento,Guy Pearce
411,revenge,Harmonica,Once Upon a Time in the West,Charles Bronson
412,revenge,Conan the Barbarian,Conan the Destroyer,Arnold Schwarzenegger
413,romantic_runnerup,Lon Hammond Jr.,The Notebook,James Marsden
414,romantic_runnerup,Prince Edward,Enchanted,James Marsden
415,romantic_runnerup,James Norrington,Pirates of the Caribbean: At World's End,Jack Davenport
416,romantic_runnerup,Julian Mercer,Something's Gotta Give,Keanu Reeves
417,romantic_runnerup,Michael Grates,Reality Bites,Ben Stiller
418,romantic_runnerup,Proteus,Sinbad: Legend of the Seven Seas,Joseph Fiennes
419,self_made_man,George Kittredge,The Philadelphia Story,John Howard
420,self_made_man,Roger Callaway,It Takes Two,Steve Guttenberg
421,self_made_man,"Daniel ""Rudy"" Ruettiger",Rudy,Sean Astin
422,slacker,Brodie Bruce,Mallrats,Jason Lee
423,slacker,Dale Denton,Pineapple Express,Seth Rogen
424,slacker,Ben Stone,Knocked Up,Seth Rogen
425,slacker,Shaun,Shaun of the Dead,Simon Pegg
426,slacker,Kumar Patel,Harold & Kumar Go to White Castle,Kal Penn
427,slacker,Kumar Patel,Harold & Kumar Escape from Guantanamo Bay,Kal Penn
428,slacker,Romy White,Romy and Michele's High School Reunion,Mira Sorvino
429,slacker,Michele Weinberger,Romy and Michele's High School Reunion,Lisa Kudrow
430,slacker,John Winger,Stripes,Bill Murray
431,slacker,Dewey Finn,School of Rock,Jack Black
432,slacker,Aram Finklestein,The Rebound,Justin Bartha
433,stoner,Jay,Dogma,Jason Mewes
434,stoner,"Bill S. Preston, Esq.",Bill & Ted's Excellent Adventure,Alex Winter
435,stoner,"Ted ""Theodore"" Logan",Bill & Ted's Excellent Adventure,Keanu Reeves
436,stoner,Jeff Spicoli,Fast Times at Ridgemont High,Sean Penn
437,stoner,Luke Shapiro,The Wackness,Josh Peck
438,stoner,Kumar Patel,Harold & Kumar Go to White Castle,Kal Penn
439,stoner,Harold Lee,Harold & Kumar Go to White Castle,John Cho
440,stoner,Dale Denton,Pineapple Express,Seth Rogen
441,stoner,Red,Pineapple Express,Danny McBride
442,stoner,Saul Silver,Pineapple Express,James Franco
443,stoner,Thadeous,Your Highness,Danny McBride
444,stoner,Fabious,Your Highness,James Franco
445,stoner,Marty Mikalski,The Cabin in the Woods,Fran Kranz
446,storyteller,Dilios,300,David Wenham
447,storyteller,Ed Bloom - Young,Big Fish,Ewan McGregor
448,storyteller,Garth McCann,Secondhand Lions,Michael Caine
449,storyteller,Wendy Darling,Peter Pan,Rachel Hurd-Wood
450,stupid_crooks,Sol,Snatch,Lennie James
451,stupid_crooks,Vinny,Snatch,Robbie Gee
452,stupid_crooks,Tyrone,Snatch,Ade
453,stupid_crooks,Jerry Lundegaard,Fargo,William H. Macy
454,stupid_crooks,Vincent Vega,Pulp Fiction,John Travolta
455,surfer_dude,"Ted ""Theodore"" Logan",Bill & Ted's Excellent Adventure,Keanu Reeves
456,surfer_dude,"Bill S. Preston, Esq.",Bill & Ted's Excellent Adventure,Alex Winter
457,surfer_dude,Jeff Spicoli,Fast Times at Ridgemont High,Sean Penn
458,surfer_dude,Chicken Joe,Surf's Up,Jon Heder
459,surfer_dude,Geek,Surf's Up,Jeff Bridges
460,surfer_dude,Stoney Brown,Encino Man,Pauly Shore
461,surfer_dude,Crawl,Son in Law,Pauly Shore
462,surfer_dude,Bud Macintosh,Bio-Dome,Pauly Shore
463,surfer_dude,Lance B. Johnson,Apocalypse Now,Sam Bottoms
464,the_chief,Dreyfus,The Pink Panther,Kevin Kline
465,the_chief,Lt. Andrew Bogomil,Beverly Hills Cop,Ronny Cox
466,the_chief,The Chief,Dirty Harry,John Larch
467,the_editor,Ben Bradlee,All the President's Men,Jason Robards
468,the_editor,Walter Burns,His Girl Friday,Cary Grant
469,tranquil_fury,Eric Draven,The Crow,Brandon Lee
470,tranquil_fury,John Preston,Equilibrium,Christian Bale
471,tranquil_fury,Ethan Hunt,Mission: Impossible,Tom Cruise
472,tranquil_fury,Inigo Montoya,The Princess Bride,Mandy Patinkin
473,tranquil_fury,David Sumner,Straw Dogs,Dustin Hoffman
474,tranquil_fury,Max Cady,Cape Fear,Robert De Niro
475,tranquil_fury,Driver,Drive,Ryan Gosling
476,trickster,Han Solo,Star Wars Episode V: The Empire Strikes Back,Harrison Ford
477,trickster,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
478,trickster,Tyler Durden,Fight Club,Brad Pitt
479,trickster,Mr. Nick,The Imaginarium of Dr. Parnassus,Tom Waits
480,trickster,Loki,Thor,Tom Hiddleston
481,valley_girl,Julie Richman,Valley Girl,Deborah Foreman
482,valley_girl,Cher Horowitz,Clueless,Alicia Silverstone
483,valley_girl,Romy White,Romy and Michele's High School Reunion,Mira Sorvino
484,valley_girl,Buffy Summers,Buffy the Vampire Slayer,Kristy Swanson
485,valley_girl,Elle Woods,Legally Blonde,Reese Witherspoon
486,valley_girl,Karen,White Chicks,Busy Philipps
487,warrior_poet,Katsumoto,The Last Samurai,Ken Watanabe
488,warrior_poet,Arthur Burns,The Proposition,Danny Huston
489,warrior_poet,Zohan,You Don't Mess with the Zohan,Adam Sandler
490,warrior_poet,Broken Sword,Hero,Tony Leung Chiu Wai
491,warrior_poet,Colonel Walter E. Kurtz,Apocalypse Now,Marlon Brando
492,warrior_poet,Master Li Mu Bai,"Crouching Tiger, Hidden Dragon",Chow Yun-Fat
493,warrior_poet,Tool,The Expendables,Mickey Rourke
494,warrior_poet,T. E. Lawrence,Lawrence of Arabia,Peter O'Toole
495,warrior_poet,Horton the Elephant,Horton Hears a Who!,Jim Carrey
496,young_gun,Chico,The Magnificent Seven,Horst Buchholz
497,young_gun,Morgan Earp,Tombstone,Bill Paxton
498,young_gun,Colorado Ryan,Rio Bravo,Ricky Nelson
499,young_gun,Tom Sawyer,The League of Extraordinary Gentlemen,Shane West
500,young_gun,William H. 'Billy the Kid' Bonney,Young Guns II,Emilio Estevez
501,young_gun,Jake,Silverado,Kevin Costner
