,MIGUEL (V.O.),MIGUEL,MAMÁ COCO,ABUELITA,MUSICIANS,MIGUEL (V.O),MAMÁ,WOMAN,STREET VENDOR,TOUR GUIDE,DE LA CRUZ,DE LA CRUZ (CONT'D),MIGUEL (CONT'D),PLAZA MARIACHI,PLAZA MARIACHI (CONT'D),ABUELITA (O.S.),TÍO BERTO,PAPÁ,PAPÁ FRANCO,PRIMA ROSA,PRIMO ABEL,ABUELITA (CONT'D),MAMÁ COCO (CONT'D),DE LA CRUZ (FILM CLIP),NUN (FILM CLIP),LOLA (FILM CLIP),INTERVIEWER (FILM CLIP),MAMÁ (CONT'D),TÍA GLORIA,STAGE MANAGER,MUSICIAN #1,MUSICIAN #2,MUSICIAN #3,VOICES (O.S.),GROUNDSKEEPER,WOMAN (CONT'D),SKELETON HEAD,SKELETON ABUELA,PAPÁ JULIO,TÍA ROSITA,TÍA VICTORIA,PAPÁ JULIO (CONT'D),TÍO FELIPE,TÍO OSCAR,SKELETON MOTHER,CANNED LOOP (V.O.),ARRIVALS AGENT,TRAVELER,DEPARTURES AGENT,DEPARTURES AGENT (CONT'D),ELDERLY COUPLE,JUAN ORTODONCIA,HÉCTOR,OFFICER,ARRIVALS AGENT (O.S.),VOICE OVER P.A.,DISTRESSED TRAVELER,MIFFED WIFE,MAMÁ IMELDA,CASE WORKER,CLERK,MAMÁ IMELDA (CONT'D),PATROLWOMAN,PATROLMAN,CORRECTIONS OFFICER,HÉCTOR (CONT'D),CECILIA,FRIDA,FRIDA (CONT'D),GUSTAVO,RATTY GROUP,RATTY MEMBER,TÍA CHELO,OLD TIAS,CHICHARRÓN,VENDOR,EMCEE,EMCEE (CONT'D),SKELETON MUSICIAN,OPERA SINGERS,STAGEHAND,CROWD,EMCEE (O.S.),AUDIENCE MEMBER (O.S.),TÍO FELIPE/TÍO OSCAR,AUDIENCE,CROWD MEMBERS,SECURITY GUARD,GUEST,BAND LEADER,BAND MEMBER #2,MIGUEL & DE LA CRUZ,DON HIDALGO (FILM CLIP),HÉCTOR (O.S.),YOUNG DE LA CRUZ,YOUNG HÉCTOR,YOUNG DE LA CRUZ (CONT'D),HÉCTOR (V.O.),DANTE (O.S),DANTE (O.S.),FAMILY,ANNOUNCER (O.S.),CROWD MEMBER,MIGUEL (O.S.),DE LA CRUZ/MAMÁ IMELDA,TÍO OSCAR/TÍO FELIPE,AUDIENCE MEMBER,PAPÁ (O.S.),TOUR GUIDE (O.S.),TOUR GUIDE (CONT'D)
63, ,You guys have a spare guitar?, , , , , , , , ,"REMEMBER ME, THOUGH I HAVE TO--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Buenas noches, Chicharrón!", , , , , ,No conditions., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64, ,"I need a guitar, just for a little
bit--", , , , , , , , ,Hey!--, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"C'mon, it's Día de Muertos! I
brought you a little offering!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65, ,"Great-great grandfather... What am
I supposed to do?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"I would, Cheech, but the thing
is... me and my friend, Miguel, we
really need to borrow your guitar.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66, ,"No, no, no, no, no, Dante stop!
Cállate! Shhh!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Yes?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67, ,I'm sorry..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"I promise we'll bring it right
back.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68, ,"Señor de la Cruz? Please don't be
mad. I'm Miguel, your great-great
grandson... I need to borrow this.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Uh..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, ,"I... I'm sorry! It's not what it
looks like! De la Cruz is my...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Ah, you see­-", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, ,Mamá!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, no, not like those times.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
71, ,"Thanks, I--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Whoa, whoa -- you okay, amigo?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, ,Ahhh!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"You know I don't play anymore,
Cheech. The guitar's for the kid--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73, ,AHHH!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Only for you, amigo.     Any requests?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, ,"Dante?! You can see me?          W-wait!
What's going on?!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"WELL EVERYONE KNOWS JUANITA,
HER EYES EACH A DIFFERENT COLOR.
HER TEETH STICK OUT,
AND HER CHIN GOES IN,
AND HER...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, ,Dante!    Dante!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,There are children present., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
76, ,"I'm sorry, I'm sorry...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"HER HAIR IS LIKE A BRIAR,
SHE STANDS IN A BOW-LEGGED STANCE.
AND IF I WEREN'T SO UGLY,
SHE'D POSSIBLY GIVE ME A CHANCE!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, ,Remind me how I know you?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,He's been forgotten., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, ,Tía... Rosita?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"When there's no one left in the
living world who remembers you, you
disappear from this world. We call
it the ""Final Death.""", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
79, ,Papá Julio?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No one knows., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, ,Tía Victoria?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, it doesn't work like that,
chamaco. Our memories... they have
to be passed down by those who knew
us in life -- in the stories they
tell about us. But there's no one
left alive to pass down Cheech's
stories...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81, ,Tío Oscar?     Tío Felipe?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"How do you think I knew your great-
great grandpa? We used to play
music together. Taught him
everything he knows.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
82, ,Whoa..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Ha-ha, you're funny! Greatest
eyebrows of all time maybe but his
music, eh, not so much.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83, ,"Dante!   Dante! Dante, wait up!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Welcome to the Plaza de la Cruz!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84, ,"This isn't a dream, then.        You're
all really out there...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Showtime, chamaco!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85, ,"Well I don't know, I thought it
might've been one of those made up
things that adults tell kids...
like... vitamins.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"That's our ticket, muchacho.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86, ,"Well, now I'm thinking maybe they
could be...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"So what's the plan?     What are you
gonna play?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
87, ,"Are those...? Alebrijes!         But
those are--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, not that one.     No.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88, ,Hola., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Ehck, it's too popular.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
89, ,Whoa..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Epa!   Now that's a song!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
90, ,Mamá Imelda..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"You always this nervous before a
performance?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91, ,What?!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"What?! You said you were a
musician!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
92, ,But I wasn't stealing the guitar!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,That's your plan?!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
93, ,"It was my great-great
grandfather's, he would have wanted
me to have it--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, no, no, no, no, you have to
win, Miguel. Your life LITERALLY
depends on you winning! AND YOU'VE
NEVER DONE THIS BEFORE?!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
94, ,"Uh, you're all dead.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Why?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
95, ,That's just Dante., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,What does that matter?!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
96, ,But Dante doesn't have any hair., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Oh. Oh, that's such a sweet
sentiment... at SUCH a bad time!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
97, ,Oh..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Okay... okay, okay, okay. Okay.
Okay.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
98, ,It was an accident!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Okay., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
99, ,That's it?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Okay you wanna perform? Then
you've got to PERFORM!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100, ,What happens at sunrise?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Come on, yell! Belt it out!
OOOOOOH HE-HE-HEY! Ha! Ah, feels
good! Okay... now you.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101, ,What?   She can't do that!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Oh, c'mon kid...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
102, ,Fine., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Miguel, look at me.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103, ,No skeletons!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey!     Hey, look at me.
(beat)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104, ,"Mariachi Plaza, here I come--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Make 'em listen, chamaco!        You got
this!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
105, ,"This isn't fair, it's my life!     You
already had yours!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Arre papá!     Hey!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106, ,"Papá Julio, I ask for your
blessing.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"What's he doing? Why isn't he
playing?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107, ,You really hate music that much?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, no, no, no...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108, ,The same path he did., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"You're not so bad yourself,
gordito! Eso!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
109, ,"Con permiso, I... need to visit the
restroom. Be right back!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"THE LOCO THAT YOU MAKE ME
IT IS JUST UN POCO CRAZY
THE SENSE THAT YOU'RE NOT MAKING...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
110, ,Vámonos., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey, you did good!     I'm proud of
you! Eso!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
111, ,"If I wanna be a musician, I need a
MUSICIAN'S blessing. We gotta find
my great-great grandpa.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey, where are you going?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112, ,"No, no -- Dante!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"What, are you crazy?     We're about
to win this thing!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113, ,"Hey. Hey!     You really know de la
Cruz?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Wait, wait, wait! You said de la
Cruz was your ONLY family. The
ONLY person who could send you
home.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114, ,Shhh!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"You could have taken my photo back
this whole time?!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115, ,He's my great-great-grandfather., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,You lied to me!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116, ,"D'ya know what, maybe this isn't
such a g--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Look at me. I'm being forgotten,
Miguel. I don't even know if I'm
gonna last the night!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
117, ,AH!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"I'm not gonna miss my one chance to
cross that bridge 'cause you want
to live out some stupid musical
fantasy!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
118, ,That's nice!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,I'm taking you to your family., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
119, ,You don't get to cross over., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,You'll thank me later--, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
120, ,This is you?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No -- no, no, no!     No...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
121, ,"So you get me to my great-great
grandpa, then I put up your photo
when I get home?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey, chamaco! Where did you go?!
Chamaco! I'm sorry! Come back!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
122, ,"Mmm, nope.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Yes, it is I. Frida Kahlo.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123, ,"ONLY de la Cruz. If you can't help
me, I'll find him myself.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Gracias..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
124, ,"I'm walking like a skeleton.
Blending in.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"You said you'd take back my photo.
You promised, Miguel.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
125, ,It's how you walk., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Please Miguel, put my photo up.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126, ,"Whoa...""Ernesto de la Cruz's
Sunrise Spectacular...!"" Qué
padre!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,And whose fault is that?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127, ,And you can get us in!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Those were MY songs you took.     MY
songs that made YOU famous.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128, ,"Hey, you said you had front row
tickets!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"If I'm being forgotten, it's
because you never told anyone that
I wrote them--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129, ,How?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"You wanna tell him, or should I?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130, ,Hola., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Oh, how generous.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
131, ,Dante... Dante!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Look, I don't want to fight about
it. I just want you to make it
right. Miguel can put my photo up--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
132, ,We shouldn't be in here..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"--And I can cross over the bridge.
I can see my girl.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
133, ,"No, no, Dante! Ven acá!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Ernesto... Remember the night I
left?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
134, ,I just followed my--, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"We drank together and you told me
you would move heaven and earth for
your amigo. Well, I'm asking you
to now.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
135, ,I don't think he's a spirit guide., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,What?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
136, ,"I think it's just the right amount
of obvious?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"I'm talking about my real life,
Miguel.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
137, ,"It could use some music... Oh!
What if you did, like, doonk-doonk-
doonk-doonk...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,You took everything away from me!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
138, ,Huh?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,You rat!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139, ,"Excuse me, where's the real de la
Cruz?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"I just wanted to go back home!      No,
no, NO!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140, ,"You said my great-great grandpa
would be here! He's halfway across
town, throwing some big party.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Kid?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
141, ,"If you're such good friends, how
come he didn't invite you?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey -- hey, hey...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
142, ,Chorizo?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey, it's okay...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
143, ,"Hey, I'm a musician.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey, chamaco, it's okay.         It's
okay.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
144, ,"I need to get my great-great
grandfather's blessing.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Hhuuh!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
145, ,"My great-great grandpa was a
musician.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,She's... forgetting me., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
146, ,Whadda you know?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,My daughter..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
147, ,"So, how far is this guitar anyway?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,I just wanted to see her again..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
